Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
333,334,1,6723.35,7317.44,8.836220039117393,long,Max Drawdown Limit,101,60003.089999999924,743410.9699999997,0.0,0.0
335,336,1,7381.9,7466.21,1.1421178829298744,long,Max Drawdown Limit,100,8431.00000000004,751841.9699999997,0.0,0.0
337,338,1,7337.53,7398.78,0.8347495683152233,long,Max Drawdown Limit,102,6247.5,758089.4699999997,0.0,0.0
339,340,1,7394.79,7721.01,4.41148430178545,long,Max Drawdown Limit,102,33274.440000000024,791363.9099999998,0.0,0.0
341,342,1,8397.24,8175.64,-2.6389623257165384,long,Max Drawdown Limit,94,-20830.39999999995,770533.5099999999,2.7033736663834267,2.6322150576717496
343,344,1,7920.0,8188.57,3.3910353535353503,long,Max Drawdown Limit,97,26051.28999999997,796584.7999999998,0.0,0.0
345,346,1,8225.04,8211.0,-0.1706982580024033,long,Max Drawdown Limit,96,-1347.8400000000838,795236.9599999997,0.16948910422876778,0.1692023247242584
347,348,1,8173.92,7730.93,-5.419553898251999,long,Max Drawdown Limit,97,-42970.02999999998,752266.9299999998,5.712072176295178,5.403424659739145
355,356,1,6720.06,6285.0,6.4740493388451945,short,Max Drawdown Limit,111,48291.66000000005,800558.5899999999,0.0,0.0
357,358,1,6529.79,6144.01,5.908000104138108,short,Max Drawdown Limit,122,47065.15999999997,847623.7499999998,0.0,0.0
359,360,1,6232.35,6308.33,-1.2191228027950862,short,Max Drawdown Limit,136,-10333.27999999994,837290.4699999999,1.2341332393285107,1.219088068261409
361,362,1,6246.35,6188.08,0.9328647930391417,short,Max Drawdown Limit,134,7808.1800000000585,845098.6499999999,0.0,0.0
363,364,1,6267.16,6311.75,-0.7114865425487804,short,Max Drawdown Limit,134,-5975.0600000000195,839123.5899999999,0.7120595906498179,0.7070251502590919
365,366,1,6584.49,6387.96,2.9847414150526426,short,Max Drawdown Limit,127,24959.30999999997,864082.8999999998,0.0,0.0
368,369,1,6254.84,6480.0,-3.5997723363027645,short,Max Drawdown Limit,138,-31072.07999999998,833010.8199999998,3.730093205752113,3.5959605264726293
370,371,1,6360.89,6525.01,-2.5801420870349885,short,Max Drawdown Limit,130,-21335.599999999984,811675.2199999999,2.6285883163958093,2.5612632498579044
372,373,1,6681.64,6733.64,0.7782520459048975,long,Max Drawdown Limit,121,6292.0,817967.2199999999,0.0,0.0
374,375,1,6700.0,6908.64,3.1140298507462734,long,Max Drawdown Limit,122,25454.080000000038,843421.2999999999,0.0,0.0
384,385,1,6700.0,6516.01,-2.7461194029850713,long,Max Drawdown Limit,125,-22998.74999999997,820422.5499999999,2.803281065348582,2.7268400738752985
386,387,1,6395.54,6185.05,3.291199804864011,short,Max Drawdown Limit,128,26942.719999999972,847365.2699999999,0.0,0.0
392,393,1,6487.38,6476.63,-0.1657063406182465,long,Max Drawdown Limit,130,-1397.5,845967.7699999999,0.16519541873326926,0.1649229735365482
394,395,1,6514.96,6505.0,-0.15287891253361552,long,Max Drawdown Limit,129,-1284.8400000000047,844682.9299999999,0.15210914703816347,0.15187812651538338
399,400,1,6492.0,6759.02,4.113062230437468,long,Max Drawdown Limit,130,34712.60000000006,879395.53,0.0,0.0
402,403,1,6708.0,6581.39,-1.8874478234943302,long,Max Drawdown Limit,131,-16585.909999999956,862809.6200000001,1.9223139862534118,1.8860580289735969
412,413,1,6510.0,6593.79,-1.287096774193548,short,Max Drawdown Limit,132,-11060.279999999995,851749.3400000001,1.2985369615901348,1.281891131441027
419,420,1,6631.0,6252.68,5.7053234806213196,short,Max Drawdown Limit,128,48424.95999999996,900174.3,0.0,0.0
423,424,1,6339.34,6752.5,6.517397710171719,long,Max Drawdown Limit,141,58255.55999999998,958429.86,0.0,0.0
426,427,1,6740.89,6618.96,-1.8088115960948818,long,Max Drawdown Limit,142,-17314.06000000004,941115.7999999999,1.8397374690766064,1.8065025645173511
428,429,1,6528.88,6588.4,0.9116418129908885,long,Max Drawdown Limit,144,8570.879999999932,949686.6799999999,0.0,0.0
438,439,1,6344.5,6330.87,0.21483174403026414,short,Max Drawdown Limit,149,2030.8700000000163,951717.5499999999,0.0,0.0
