Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
612,613,1,49915.64,51756.88,3.688703580681321,long,signal,109,200695.15999999977,5654380.510000006,0.0,0.0
614,615,1,52663.9,46863.73,-11.013559573066177,long,ATR_stop_loss1,107,-620618.1899999998,5033762.320000007,12.329111915637657,10.975883014990067
617,618,1,46395.14,44850.91,3.328430520955419,short,Max Drawdown Limit,108,166776.83999999956,5200539.160000007,0.0,0.0
620,621,1,46025.24,44940.73,-2.3563375226288765,long,signal,112,-121465.11999999941,5079074.0400000075,2.391481578008243,2.3356255238735484
623,624,1,48121.41,47737.82,-0.7971295936673587,long,Max Drawdown Limit,105,-40276.9500000004,5038797.090000006,0.7993366130963029,0.7929978906155315
628,629,1,43015.62,40734.38,5.30328285399584,short,Max Drawdown Limit,117,266905.0800000006,5305702.170000007,0.0,0.0
630,631,1,43543.61,44865.26,-3.035232953813433,short,signal,121,-159919.65000000017,5145782.520000007,3.107780971668429,3.014109063720781
632,633,1,42810.57,42670.64,0.32685853049842667,short,signal,120,16791.600000000035,5162574.120000007,0.0,0.0
640,641,1,47634.9,48200.01,1.1863360687227233,long,signal,108,61031.88000000006,5223606.0000000065,0.0,0.0
643,644,1,51471.99,55315.0,7.466216091509192,long,ID,101,388144.0100000002,5611750.010000006,0.0,0.0
645,646,1,53785.22,53951.43,0.3090254162760683,long,signal,104,17285.83999999991,5629035.850000006,0.0,0.0
647,648,1,54949.72,54659.0,-0.5290654802244691,long,signal,102,-29653.44000000012,5599382.410000006,0.5295841189028627,0.5267942999510365
649,650,1,57471.35,55996.93,-2.5654869774244005,long,signal,97,-143018.73999999982,5456363.6700000055,2.621136505001326,2.554187757288756
651,652,1,57367.0,57347.94,-0.033224676207571725,long,signal,95,-1810.6999999997788,5454552.970000005,0.033196120927948096,0.03318510476044176
653,654,1,61672.42,60875.57,-1.2920686426769026,long,signal,88,-70122.79999999987,5384430.1700000055,1.302325367514233,1.285582895347696
655,656,1,61528.33,62009.84,0.7825825924415546,long,signal,87,41891.369999999544,5426321.540000006,0.0,0.0
657,658,1,64280.59,66001.41,2.677044501302815,long,signal,84,144548.8800000006,5570870.420000006,0.0,0.0
659,660,1,62193.15,60688.22,-2.419768093431512,long,signal,89,-133938.77000000002,5436931.650000006,2.463499242261034,2.404270067369478
665,666,1,58413.44,60575.89,3.7019733814683695,long,signal,93,201107.84999999974,5638039.500000006,0.0,0.0
677,678,1,67525.83,66947.66,-0.8562205011030567,long,signal,83,-47988.109999999855,5590051.390000005,0.8584556143051897,0.8511488789675966
681,682,1,64122.23,64380.0,0.4019978718768776,long,signal,87,22425.98999999972,5612477.380000005,0.0,0.0
683,684,1,65519.1,63606.74,-2.918782461908055,long,signal,85,-162550.60000000003,5449926.780000004,2.982619887601507,2.896236171556747
685,686,1,60058.87,60344.87,0.47619943565371775,long,signal,90,25740.0,5475666.780000004,0.0,0.0
687,688,1,56891.62,58052.24,-2.040054405200617,short,signal,96,-111419.51999999955,5364247.260000004,2.0770765141799123,2.0348119138104215
690,691,1,58622.02,56247.18,4.0511057107892166,short,signal,91,216110.43999999968,5580357.700000004,0.0,0.0
692,693,1,57541.27,57138.29,0.7003321268369571,short,signal,96,38686.07999999961,5619043.780000003,0.0,0.0
695,696,1,53726.53,54721.03,-1.8510408172647665,short,signal,104,-103428.0,5515615.780000003,1.8751850042752605,1.8406690541927038
697,698,1,57274.88,57776.25,0.8753750335225541,long,signal,96,48131.52000000025,5563747.300000004,0.0,0.0
699,700,1,56950.56,57184.07,-0.41002230706774795,short,signal,97,-22650.470000000198,5541096.830000004,0.40877231881904735,0.4071081732989513
